Thời gian xử lý,Số lượng nước đi
545.1710224151611,585
756.2253475189209,1847
3781.290054321289,5680
2486.0105514526367,10896
8369.94194984436,20974
12182.088851928711,35479
16446.781873703003,52931
27694.65970993042,74397
34327.47983932495,99580
2534.2061519622803,115562
28665.292501449585,144518
19883.573532104492,162700
25833.58669281006,179073
16306.958436965942,198326
13555.819034576416,212702
22391.318798065186,237416
17372.384786605835,259928
25510.470390319824,281936
18474.621057510376,301392
26152.273654937744,325625
42968.06526184082,355392
32063.658714294434,377003
4453.238248825073,383436
4379.752159118652,390489
6076.941728591919,398428
6442.898273468018,406031
6415.921688079834,414339
5349.8430252075195,421995
8979.694604873657,431049
5555.687427520752,439053
7103.455305099487,449027
4324.697017669678,455634
4075.4289627075195,461198
1632.5836181640625,464593
2006.6368579864502,468224
2046.6196537017822,471465
2708.98175239563,476294
2409.5733165740967,480095
2841.2744998931885,485412
2215.592384338379,489819
2797.447443008423,494487
2593.116044998169,499045
2252.7990341186523,502955
1882.7250003814697,506964
2399.712324142456,511584
2121.5784549713135,515696
2154.893398284912,519857
1490.9718036651611,523029
2206.3963413238525,527006
1907.8645706176758,530619
